timestamp,x,y,theta,v,omega
1771061547649972358,0.0,0.0,0.0,0.0,0.0
1771061547700566357,0.0,0.0,0.0,0.0,0.0
1771061547749868400,0.0,0.0,0.0,0.0,0.0
1771061547799987898,0.0,0.0,0.0,0.0,0.0
1771061547849669263,0.0,0.0,0.0,0.0,0.0
1771061547900088142,0.0,0.0,0.0,0.0,0.0
1771061547949898930,0.0,0.0,0.0,0.0,0.0
1771061547999495526,0.0,0.0,0.0,0.0,0.0
1771061548050011700,0.0,0.0,0.0,0.0,0.0
1771061548099872855,0.0,0.0,0.0,0.0,0.0
1771061548149988386,0.0,0.0,0.0,0.0,0.0
1771061548199784979,0.0,0.0,0.0,0.0,0.0
1771061548250221494,0.0,0.0,0.0,0.0,0.0
1771061548299763298,0.0,0.0,0.0,0.0,0.0
1771061548350000508,0.0,0.0,0.0,0.0,0.0
1771061548399909092,0.0,0.0,0.0,0.0,0.0
1771061548449620364,0.0,0.0,0.0,0.0,0.0
1771061548499854749,0.0,0.0,0.0,0.0,0.0
1771061548549751450,0.0,0.0,0.0,0.0,0.0
1771061548599634004,0.0,0.0,0.0,0.0,0.0
1771061548649736502,0.0,0.0,0.0,0.0,0.0
1771061548699560015,0.0,0.0,0.0,0.0,0.0
1771061548749867928,0.0,0.0,0.0,0.0,0.0
1771061548800679547,0.0,0.0,0.0,0.0,0.0
1771061548849868379,0.0,0.0,0.0,0.0,0.0
1771061548899852554,0.0,0.0,0.0,0.0,0.0
1771061548949762780,0.0,0.0,0.0,0.0,0.0
1771061548999548513,0.0,0.0,0.0,0.0,0.0
1771061549049995358,0.0,0.0,0.0,0.0,0.0
1771061549099886229,0.0,0.0,0.0,0.0,0.0
1771061549149828227,0.0,0.0,0.0,0.0,0.0
1771061549200337569,0.0,0.0,0.0,0.0,0.0
1771061549249889374,0.0,0.0,0.0,0.0,0.0
1771061549300059300,0.0,0.0,0.0,0.0,0.0
1771061549349914444,0.0,0.0,0.0,0.0,0.0
1771061549400042761,0.0,0.0,0.0,0.0,0.0
1771061549449990600,0.0,0.0,0.0,0.0,0.0
1771061549500079774,0.0,0.0,0.0,0.0,0.0
1771061549549518927,0.0,0.0,0.0,0.0,0.0
1771061549599811513,0.0,0.0,0.0,0.0,0.0
1771061549649962693,0.0,0.0,0.0,0.0,0.0
1771061549700023844,0.0,0.0,0.0,0.0,0.0
1771061549750469517,0.0,0.0,0.0,0.0,0.0
1771061549799564254,0.0,0.0,0.0,0.0,0.0
1771061549850498624,0.0,0.0,0.0,0.0,0.0
1771061549899774371,0.0,0.0,0.0,0.0,0.0
1771061549949874445,0.0,0.0,0.0,0.0,0.0
1771061550000603971,0.0,0.0,0.0,0.0,0.0
1771061550049508232,0.0,0.0,0.0,0.0,0.0
1771061550100339671,0.0,0.0,0.0,0.0,0.0
1771061550150816824,0.0,0.0,0.0,0.0,0.0
1771061550200002724,0.0,0.0,0.0,0.0,0.0
1771061550249852039,0.0,0.0,0.0,0.0,0.0
1771061550300187707,0.0,0.0,0.0,0.0,0.0
1771061550349898261,0.0,0.0,0.0,0.0,0.0
1771061550399841683,0.0,0.0,0.0,0.0,0.0
1771061550449580310,0.0,0.0,0.0,0.0,0.0
1771061550499823715,0.0,0.0,0.0,0.0,0.0
1771061550549709979,0.0,0.0,0.0,0.0,0.0
1771061550599510462,0.0,0.0,0.0,0.0,0.0
1771061550649704895,0.0,0.0,0.0,0.0,0.0
1771061550699555743,0.0,0.0,0.0,0.0,0.0
1771061550749895829,0.0,0.0,0.0,0.0,0.0
1771061550800455728,0.0,0.0,0.0,0.0,0.0
1771061550849813480,0.0,0.0,0.0,0.0,0.0
1771061550899799312,0.0,0.0,0.0,0.0,0.0
1771061550949637105,0.0,0.0,0.0,0.0,0.0
1771061551000393473,0.0,0.0,0.0,0.0,0.0
1771061551049747269,0.0,0.0,0.0,0.0,0.0
1771061551100591423,0.0,0.0,0.0,0.0,0.0
1771061551149827037,0.0,0.0,0.0,0.0,0.0
1771061551200331224,0.0,0.0,0.0,0.0,0.0
1771061551249674139,0.0,0.0,0.0,0.0,0.0
1771061551300223139,0.0,0.0,0.0,0.0,0.0
1771061551349600960,0.0,0.0,0.0,0.0,0.0
1771061551400005089,0.0,0.0,0.0,0.0,0.0
1771061551450206576,0.0,0.0,0.0,0.0,0.0
1771061551499835860,0.0,0.0,0.0,0.0,0.0
1771061551550221313,0.0,0.0,0.0,0.0,0.0
1771061551601227822,0.0,0.0,0.0,0.0,0.0
1771061551650107718,0.0,0.0,0.0,0.0,0.0
1771061551700337910,0.0,0.0,0.0,0.0,0.0
1771061551749385932,0.0,0.0,0.0,0.0,0.0
1771061551800795137,0.0,0.0,0.0,0.0,0.0
1771061551849712513,0.0,0.0,0.0,0.0,0.0
1771061551899810938,0.0,0.0,0.0,0.0,0.0
1771061551949676084,0.0,0.0,0.0,0.0,0.0
1771061552000048833,0.0,0.0,0.0,0.0,0.0
1771061552049799696,0.0,0.0,0.0,0.0,0.0
1771061552099824544,0.0,0.0,0.0,0.0,0.0
1771061552149802984,0.0,0.0,0.0,0.0,0.0
1771061552200436344,0.0,0.0,0.0,0.0,0.0
1771061552250393294,0.0,0.0,0.0,0.0,0.0
1771061552300438930,0.0,0.0,0.0,0.0,0.0
1771061552349968147,0.0,0.0,0.0,0.0,0.0
1771061552400375092,0.0,0.0,0.0,0.0,0.0
1771061552449744720,0.0,0.0,0.0,0.0,0.0
1771061552500207640,0.0,0.0,0.0,0.0,0.0
1771061552549858365,0.0,0.0,0.0,0.0,0.0
1771061552599849268,0.0,0.0,0.0,0.0,0.0
1771061552650248639,0.0,0.0,0.0,0.0,0.0
1771061552699556170,0.0,0.0,0.0,0.0,0.0
1771061552749788507,0.0,0.0,0.0,0.0,0.0
1771061552800587428,0.0,0.0,0.0,0.0,0.0
1771061552849860804,0.0,0.0,0.0,0.0,0.0
1771061552899721113,0.0,0.0,0.0,0.0,0.0
1771061552949653687,0.0,0.0,0.0,0.0,0.0
1771061553000669636,0.0,0.0,0.0,0.0,0.0
1771061553050191981,0.0,0.0,0.0,0.0,0.0
1771061553100527894,0.0,0.0,0.0,0.0,0.0
1771061553150222463,0.0,0.0,0.0,0.0,0.0
1771061553200420627,0.0,0.0,0.0,0.0,0.0
1771061553249554934,0.0,0.0,0.0,0.0,0.0
1771061553300779225,0.0,0.0,0.0,0.0,0.0
1771061553349609291,0.0,0.0,0.0,0.0,0.0
1771061553399818687,0.0,0.0,0.0,0.0,0.0
1771061553449674548,0.0,0.0,0.0,0.0,0.0
1771061553500305956,0.0,0.0,0.0,0.0,0.0
1771061553549494605,0.0,0.0,0.0,0.0,0.0
1771061553599762080,0.0,0.0,0.0,0.0,0.0
1771061553649789904,0.0,0.0,0.0,0.0,0.0
1771061553700136517,0.0,0.0,0.0,0.0,0.0
1771061553750402700,0.0,0.0,0.0,0.0,0.0
1771061553800840484,0.0,0.0,0.0,0.0,0.0
1771061553850431298,0.0,0.0,0.0,0.0,0.0
1771061553899617943,0.0,0.0,0.0,0.0,0.0
1771061553949666577,0.0,0.0,0.0,0.0,0.0
1771061553999730038,0.0,0.0,0.0,0.0,0.0
1771061554049542280,0.0,0.0,0.0,0.0,0.0
1771061554099908601,0.0,0.0,0.0,0.0,0.0
1771061554149792597,0.0,0.0,0.0,0.0,0.0
1771061554200098455,0.0,0.0,0.0,0.0,0.0
1771061554249812322,0.0,0.0,0.0,0.0,0.0
1771061554300181188,0.0,0.0,0.0,0.0,0.0
1771061554349838168,0.0,0.0,0.0,0.0,0.0
1771061554400438068,0.0,0.0,0.0,0.0,0.0
1771061554449519137,0.0,0.0,0.0,0.0,0.0
1771061554499672509,0.0,0.0,0.0,0.0,0.0
1771061554549906181,0.0,0.0,0.0,0.0,0.0
1771061554599775610,0.0,0.0,0.0,0.0,0.0
1771061554649715190,0.0,0.0,0.0,0.0,0.0
1771061554699925609,0.0,0.0,0.0,0.0,0.0
1771061554750157308,0.0,0.0,0.0,0.0,0.0
1771061554799953609,0.0,0.0,0.0,0.0,0.0
1771061554849771481,0.0,0.0,0.0,0.0,0.0
1771061554900534768,0.0,0.0,0.0,0.0,0.0
1771061554949683584,0.0,0.0,0.0,0.0,0.0
1771061554999813391,0.0,0.0,0.0,0.0,0.0
1771061555049818626,0.0,0.0,0.0,0.0,0.0
1771061555099916987,0.0,0.0,0.0,0.0,0.0
1771061555149789212,0.0,0.0,0.0,0.0,0.0
1771061555200183938,0.0,0.0,0.0,0.0,0.0
1771061555250081201,0.0,0.0,0.0,0.0,0.0
1771061555299905606,0.0,0.0,0.0,0.0,0.0
1771061555349775107,0.0,0.0,0.0,0.0,0.0
1771061555399905427,0.0,0.0,0.0,0.0,0.0
1771061555450321393,0.0,0.0,0.0,0.0,0.0
1771061555499698649,0.0,0.0,0.0,0.0,0.0
1771061555549552129,0.0,0.0,0.0,0.0,0.0
1771061555599885951,0.0,0.0,0.0,0.0,0.0
1771061555649609528,0.0,0.0,0.0,0.0,0.0
1771061555700501287,0.0,0.0,0.0,0.0,0.0
1771061555749680792,0.0,0.0,0.0,0.0,0.0
1771061555800559898,0.0,0.0,0.0,0.0,0.0
1771061555849811238,0.0,0.0,0.0,0.0,0.0
1771061555899785895,0.0,0.0,0.0,0.0,0.0
1771061555949628675,0.0,0.0,0.0,0.0,0.0
