metric,value
duration_s,9.989999999999998
n_state_samples,1000
n_ctrl_samples,501
trajectory_type,figure8_3d
wind_x,0.0
wind_y,-4.0
wind_z,0.0
is_wind,True
rmse_x,0.18042701944729872
max_err_x,0.32931746172992543
rmse_y,0.13480643078861768
max_err_y,0.31458001079834014
rmse_z,0.04080091450901567
max_err_z,0.054636574051489584
rmse_3d,0.22889167252954898
max_err_3d,0.40819835272873567
rmse_vx,0.2441892600097631
rmse_vy,0.3479308837041926
rmse_vz,0.01019027819829518
rmse_vel_3d,0.4251918817534676
settling_time_s,
ss_err_x,0.17595469655732607
ss_err_y,0.10312081299114667
ss_err_z,0.024484936574748036
ss_err_3d,0.21578906851716514
mean_thrust,14.828754718058477
max_thrust,15.05048376552389
min_thrust,14.654981694198518
thrust_dev,0.1173796567616179
rms_tau_phi,0.09248175272100974
max_tau_phi,0.2650478665972201
rms_tau_theta,0.6138061329999418
max_tau_theta,1.0481930544212155
rms_tau_psi,0.01408491534030274
max_tau_psi,0.02888374163007363
mean_motor_util,43.31396912310308
max_motor_util,56.43289046561391
mean_util_r0,36.74857456188933
mean_util_r1,50.51713577978914
mean_util_r2,36.143873604390144
mean_util_r3,49.846292546343705
sat_events,0
sat_pct,0.0
ctrl_energy,2201.480650827965
max_phi_deg,10.92623724626222
max_theta_deg,5.2579452786415395
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,-0.009954539740813022
ss_offset_y,-0.030663155598598495
ss_offset_z,0.024484936574748036
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,501
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,2.082110375914184
cost_state_max,5.0319333170736575
cost_input_mean,0.051744272212339265
cost_input_max,0.18627899334612624
cost_total_mean,2.133854648126523
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.0721130928137743
ui_thrust_rms,1.1687127367227854
ud_tau_phi_rms,0.5001509729399191
ui_tau_phi_rms,0.48112707135909616
ud_tau_theta_rms,0.3900649858321429
ui_tau_theta_rms,0.8850142962700821
ud_tau_psi_rms,0.01408491534030274
ui_tau_psi_rms,0.0
int_err_mag_final,0.5568119523411332
int_err_mag_max,0.841405867863237
