timestamp,x,y,theta,v,omega,cov_xx,cov_yy,cov_tt
1770972829170871199,0.0,0.0,0.0,0.0,0.0,0.11002328526477675,0.11,0.11
1770972829220596018,0.0,0.0,0.0,0.0,0.0,0.12002654141668252,0.12,0.12
1770972829270862518,0.0,0.0,0.0,0.0,0.0,0.1300279006221218,0.13,0.13
1770972829321468814,0.0,0.0,0.0,0.0,0.0,0.14002918477700904,0.14,0.14
1770972829370963613,0.0,0.0,0.0,0.0,0.0,0.1500304121990613,0.15000000000000002,0.15000000000000002
1770972829420284691,0.0,0.0,0.0,0.0,0.0,0.16003162897186626,0.16000000000000003,0.16000000000000003
1770972829470725453,0.0,0.0,0.0,0.0,0.0,0.1700328986744759,0.17000000000000004,0.17000000000000004
1770972829520715892,0.0,0.0,0.0,0.0,0.0,0.18003414906533596,0.18000000000000005,0.18000000000000005
1770972829571098079,0.0,0.0,0.0,0.0,0.0,0.1900354174295445,0.19000000000000006,0.19000000000000006
1770972829620548080,0.0,0.0,0.0,0.0,0.0,0.20003664204823782,0.20000000000000007,0.20000000000000007
1770972829670803058,0.0,0.0,0.0,0.0,0.0,0.21003790316198254,0.21000000000000008,0.21000000000000008
1770972829720520252,0.0,0.0,0.0,0.0,0.0,0.22003914014888745,0.22000000000000008,0.22000000000000008
1770972829770878592,0.0,0.0,0.0,0.0,0.0,0.23004040677658172,0.2300000000000001,0.2300000000000001
1770972829820870545,0.0,0.0,0.0,0.0,0.0,0.24004165710934727,0.2400000000000001,0.2400000000000001
1770972829870804273,0.0,0.0,0.0,0.0,0.0,0.2500429039577828,0.2500000000000001,0.2500000000000001
1770972829920718754,0.0,0.0,0.0,0.0,0.0,0.26004414973453305,0.2600000000000001,0.2600000000000001
1770972829970697821,0.0,0.0,0.0,0.0,0.0,0.2700453985500065,0.27000000000000013,0.27000000000000013
1770972830020767304,0.0,0.0,0.0,0.0,0.0,0.2800466518234575,0.28000000000000014,0.28000000000000014
1770972830071176339,0.0,0.0,0.0,0.0,0.0,0.29004792160541765,0.29000000000000015,0.29000000000000015
1770972830120794113,0.0,0.0,0.0,0.0,0.0,0.3000491542401797,0.30000000000000016,0.30000000000000016
1770972830170359365,0.0,0.0,0.0,0.0,0.0,0.31005038278658154,0.31000000000000016,0.31000000000000016
1770972830220596884,0.0,0.0,0.0,0.0,0.0,0.3200516432312037,0.3200000000000002,0.3200000000000002
1770972830270862929,0.0,0.0,0.0,0.0,0.0,0.3300529064399895,0.3300000000000002,0.3300000000000002
1770972830320890176,0.0,0.0,0.0,0.0,0.0,0.3400541583162267,0.3400000000000002,0.3400000000000002
1770972830370776286,0.0,0.0,0.0,0.0,0.0,0.35005540295762705,0.3500000000000002,0.3500000000000002
1770972830420845084,0.0,0.0,0.0,0.0,0.0,0.3600566560172949,0.3600000000000002,0.3600000000000002
1770972830471047574,0.0,0.0,0.0,0.0,0.0,0.3700579158530375,0.3700000000000002,0.3700000000000002
1770972830520769132,0.0,0.0,0.0,0.0,0.0,0.38005915299532433,0.3800000000000002,0.3800000000000002
1770972830571377578,0.0,0.0,0.0,0.0,0.0,0.39006043169894705,0.39000000000000024,0.39000000000000024
1770972830621105618,0.0,0.0,0.0,0.0,0.0,0.4000616699560258,0.40000000000000024,0.40000000000000024
1770972830670868788,0.0,0.0,0.0,0.0,0.0,0.41006290814944174,0.41000000000000025,0.41000000000000025
1770972830720594735,0.0,0.0,0.0,0.0,0.0,0.42006414456512536,0.42000000000000026,0.42000000000000026
1770972830770812885,1.1523597540345023e-06,0.0,0.0,0.00048105742325909353,-0.004948022717212128,0.43006540442555125,0.43000000000000027,0.43000000000000027
1770972830820909288,2.415381406319311e-05,-1.4236771814931154e-09,-0.00012409981376957537,2.1911612363711063e-05,-0.0005862123774180742,0.4400666594668346,0.4400000002497388,0.4400030590469287
1770972830870735922,2.404269234293977e-05,-1.3286612072211348e-09,-0.0001040408014219195,-0.00048383931433998743,0.004917451161031347,0.45006790140771197,0.4500000002729112,0.450006763343
1770972830920776184,9.338479574009617e-07,1.3847740385755184e-12,2.9319752337722267e-06,-2.2038324302983605e-05,0.000582590440807362,0.460069152984056,0.4600000000116523,0.4600105683798956
1770972830970753593,-1.1739959519517179e-07,1.8557488257655425e-11,1.5556646118117584e-05,-1.003820325650907e-06,6.902185921231003e-05,0.47007040197141775,0.4700000000123255,0.47001437581664907
1770972831020675923,-1.6522993316261407e-07,1.8289416997262137e-11,1.7050267533727435e-05,-4.5722861336307514e-08,8.177300407679038e-06,0.48007164821578097,0.4800000000123831,0.48001817616939974
1770972831071158807,-1.674330711403003e-07,1.8259564543634137e-11,1.7229542059675077e-05,-2.0826237478540862e-09,9.687980405126752e-07,0.49007292125205665,0.49000000001238614,0.49002205366987467
