metric,value
duration_s,9.979
n_state_samples,997
n_ctrl_samples,500
trajectory_type,cone_helix
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.03994456552654228
max_err_x,0.0959381840325726
rmse_y,0.03734357028263569
max_err_y,0.09197013173792382
rmse_z,0.024725299908892863
max_err_z,0.03688512541009481
rmse_3d,0.06001209054968073
max_err_3d,0.12142991542862927
rmse_vx,0.04770755953010661
rmse_vy,0.028932304204438333
rmse_vz,0.03859949270009591
rmse_vel_3d,0.0678454884248141
settling_time_s,
ss_err_x,0.05206825643408087
ss_err_y,0.046552493623193525
ss_err_z,0.02029244211805154
ss_err_3d,0.08068190788371302
mean_thrust,14.959273969800186
max_thrust,18.015343036996416
min_thrust,14.700087190611834
thrust_dev,0.24436603589884617
rms_tau_phi,0.1136855770951541
max_tau_phi,0.45188456523951287
rms_tau_theta,0.11774048308838315
max_tau_theta,0.36054429057099857
rms_tau_psi,0.0016426007716111306
max_tau_psi,0.009153321458671447
mean_motor_util,44.06607771494548
max_motor_util,51.17498372457744
mean_util_r0,44.10244109069407
mean_util_r1,44.06611450087567
mean_util_r2,44.039482353621295
mean_util_r3,44.056272914590856
sat_events,0
sat_pct,0.0
ctrl_energy,2233.6587160755353
max_phi_deg,8.090323699467698
max_theta_deg,8.149340176054451
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.023994605837179703
ss_offset_y,0.034905763969332544
ss_offset_z,0.02029244211805154
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.18822742238776136
cost_state_max,0.5496303716001009
cost_input_mean,0.01986166526600936
cost_input_max,0.03837089946480876
cost_total_mean,0.2080890876537707
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.346415923653152
ui_thrust_rms,1.570849743958041
ud_tau_phi_rms,0.10721776972930341
ui_tau_phi_rms,0.06269300429802563
ud_tau_theta_rms,0.07638534172467755
ui_tau_theta_rms,0.069310757127206
ud_tau_psi_rms,0.0016426007716111306
ui_tau_psi_rms,0.0
int_err_mag_final,0.40318146098173596
int_err_mag_max,0.6516474741764627
