metric,value
duration_s,9.979000000000001
n_state_samples,999
n_ctrl_samples,500
trajectory_type,helix
wind_x,0.0
wind_y,-4.0
wind_z,0.0
is_wind,True
rmse_x,0.0424090864717736
max_err_x,0.098148
rmse_y,0.04765892033832507
max_err_y,0.10520099999999999
rmse_z,0.04287438100100361
max_err_z,0.06208500000000017
rmse_3d,0.07686426900325277
max_err_3d,0.128474923957946
rmse_vx,0.049067593493315166
rmse_vy,0.10412047396317074
rmse_vz,0.012315735463666431
rmse_vel_3d,0.11576000677933443
settling_time_s,
ss_err_x,0.019620485
ss_err_y,0.017900419999999993
ss_err_z,0.016121434999999993
ss_err_3d,0.03380099560205069
mean_thrust,14.79368875
max_thrust,17.901291
min_thrust,14.55839
thrust_dev,0.09222211400000012
rms_tau_phi,0.08852977015706073
max_tau_phi,0.244129
rms_tau_theta,0.7134598736024079
max_tau_theta,1.195835
rms_tau_psi,0.018123814527521518
max_tau_psi,0.035259
mean_motor_util,43.038513024033335
max_motor_util,56.52783973333333
mean_util_r0,35.24303851146667
mean_util_r1,51.67441161173333
mean_util_r2,34.610516561733334
mean_util_r3,50.6260854112
sat_events,0
sat_pct,0.0
ctrl_energy,2188.655535610748
max_phi_deg,6.642127831613094
max_theta_deg,5.104251813702452
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.009174855
ss_offset_y,0.011607739999999995
ss_offset_z,0.016121434999999993
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,500
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.273989052
cost_state_max,0.600002
cost_input_mean,0.061486238
cost_input_max,0.15463
cost_total_mean,0.33547529
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,0.9938348709449865
ui_thrust_rms,1.0520453981090245
ud_tau_phi_rms,0.5732327563772642
ui_tau_phi_rms,0.5496930260195084
ud_tau_theta_rms,0.43262845602846334
ui_tau_theta_rms,1.0976149436672442
ud_tau_psi_rms,0.018123814527521518
ui_tau_psi_rms,0.0
int_err_mag_final,0.6473739360779054
int_err_mag_max,0.8602503922562313
