metric,value
duration_s,10.008999999999999
n_state_samples,1001
n_ctrl_samples,501
trajectory_type,straight_2d
wind_x,0.0
wind_y,0.0
wind_z,0.0
is_wind,False
rmse_x,0.08268337992540581
max_err_x,0.18395299999999998
rmse_y,0.03311906315800615
max_err_y,0.06005
rmse_z,0.02780359106993195
max_err_z,0.03926199999999991
rmse_3d,0.09330837763425641
max_err_3d,0.18809625247197242
rmse_vx,0.07858010416787976
rmse_vy,0.027528591157108998
rmse_vz,0.03926773253613421
rmse_vel_3d,0.09205764998444979
settling_time_s,7.068999999999999
ss_err_x,0.02241444000000002
ss_err_y,0.013864375
ss_err_z,0.014111234999999995
ss_err_3d,0.032476961056766264
mean_thrust,14.883995828737305
max_thrust,14.94554551159564
min_thrust,14.824282597345578
thrust_dev,0.16899582873730504
rms_tau_phi,0.10845544477759843
max_tau_phi,0.21539316912275394
rms_tau_theta,0.04378439659136723
max_tau_theta,0.13585708065044008
rms_tau_psi,0.0009512468153114542
max_tau_psi,0.004068791246852338
mean_motor_util,43.97421273461153
max_motor_util,46.38523627970817
mean_util_r0,43.2263831044694
mean_util_r1,44.712783676788085
mean_util_r2,44.65233912968642
mean_util_r3,43.30534502750219
sat_events,0
sat_pct,0.0
ctrl_energy,2215.669891637026
max_phi_deg,0.3326640840425106
max_theta_deg,3.4710538171545053
pct_within_linear,100.0
linearization_valid,True
ss_offset_x,0.002942995636005491
ss_offset_y,0.00015966567704336204
ss_offset_z,0.014099997287779288
wind_detected,False
has_mpc_debug,True
mpc_solve_ok,501
mpc_solve_fail,0
mpc_solve_pct,100.0
cost_state_mean,0.21931270748119036
cost_state_max,0.7639351158757702
cost_input_mean,0.04506564981103159
cost_input_max,0.09708959290324101
cost_total_mean,0.26437835729222203
torque_scale_mean,1.0
torque_scale_min,1.0
torque_scaled_pct,0.0
ud_thrust_rms,1.400927152179138
ui_thrust_rms,1.567268347910522
ud_tau_phi_rms,0.10222486412441036
ui_tau_phi_rms,0.1742309078193946
ud_tau_theta_rms,0.49390888008142064
ui_tau_theta_rms,0.49355673829721486
ud_tau_psi_rms,0.0009512468153114542
ui_tau_psi_rms,0.0
int_err_mag_final,0.4501096380917317
int_err_mag_max,0.6762228834613979
