timestamp,x,y,theta
1771063372452510533,1.2084629576395238e-06,-1.2365153993877886e-10,-1.5399176763477966e-05
1771063372552487983,1.513688102796253e-07,-1.2207705652613385e-10,-2.8110097185963064e-05
1771063372652510097,1.491774544117859e-07,-1.220216639784074e-10,-2.8266715867678074e-05
1771063372752488969,2.3148232098780417e-05,2.251163932326972e-10,6.656430603317223e-05
1771063372852490344,1.4344283050259377e-06,-2.5903810282255116e-10,-7.315160858919829e-06
1771063372952493993,1.7978683763864512e-06,-2.4502848525745077e-10,-2.670292049432296e-05
1771063373052491491,7.551760966046956e-07,-2.3135834329974037e-10,-3.924669902733298e-05
1771063373152490171,1.9047002291820249e-06,-2.767694346007744e-10,-3.552977610636988e-05
1771063373252489622,1.4484079415751539e-06,-2.7570648003378113e-10,-4.1421879427654826e-05
1771063373352489153,2.314461827130563e-05,-2.4676583684554456e-10,5.193157745774541e-05
1771063373452487953,7.224888796862811e-07,-3.8603775180732894e-10,-2.3909109448014614e-05
1771063373552491502,1.1432404077520031e-06,-3.795295422063326e-10,-4.302036315940955e-05
1771063373652520749,1.0572641813019392e-07,-3.4919340209867737e-10,-5.5489269092778954e-05
1771063373752493620,2.291106075790089e-05,-3.808746046784464e-10,5.0663758526003624e-05
1771063373852492570,-4.2334117501199733e-07,-3.7659037065257864e-10,-5.719430414770652e-05
1771063373952494145,-4.714522162855001e-07,-3.742213899056896e-10,-5.869968698061819e-05
1771063374052519084,6.812510884494128e-07,-4.418962520505868e-10,-5.822365008971937e-05
1771063374152502485,1.575074651344432e-06,-5.166304130961327e-10,-5.486575665064572e-05
1771063374252489492,5.437132943843725e-07,-4.740295656483709e-10,-6.7251098422767e-05
1771063374352564406,5.415917918023915e-07,-4.738928130914017e-10,-6.740173851160106e-05
1771063374452575879,1.6953124380916785e-06,-5.516572573849848e-10,-6.734614343614308e-05
1771063374552537158,1.5712852288614646e-06,-5.628207515795222e-10,-6.915605804964121e-05
1771063374652586884,5.206998078939936e-07,-5.050235071645815e-10,-8.178733899634614e-05
1771063374752489552,5.185101710659474e-07,-5.048506338096693e-10,-8.194339924844395e-05
1771063374852557452,2.3630076792275358e-05,-1.389745171296518e-09,1.3485358308663276e-05
1771063374952566641,2.1634013263238944e-07,-5.110025830821252e-10,-9.648653000724026e-05
1771063375052498534,1.6825585555984034e-07,-5.067489278055013e-10,-9.79872890366918e-05
1771063375152525567,1.6815516699319672e-07,-5.067391566552118e-10,-9.798434895282451e-05
1771063375252619646,1.6815495821487407e-07,-5.067391362169375e-10,-9.798434837359201e-05
1771063375352614248,1.6815495778461031e-07,-5.067391361747821e-10,-9.798434837347788e-05
1771063375452534139,1.6815495778370934e-07,-5.067391361746939e-10,-9.798434837347787e-05
1771063375552597941,1.6815495778370748e-07,-5.067391361746937e-10,-9.798434837347787e-05
1771063375652635984,2.348714093114763e-05,-1.7644896196311959e-09,-1.6184238044548656e-06
1771063375752487115,3.9656573104476435e-07,-5.645325888972463e-10,-0.00010997091187713453
1771063375852496725,3.494284995069333e-07,-5.597271828477288e-10,-0.00011143883785896421
1771063375952516774,3.4932915898061e-07,-5.597162053721858e-10,-0.0001114359104745315
1771063376052614901,3.4932895330004404e-07,-5.597161824702981e-10,-0.00011143590989780091
1771063376152631614,3.4932895286729766e-07,-5.597161824220783e-10,-0.0001114359098976873
1771063376252626346,3.4932895286640944e-07,-5.597161824219794e-10,-0.00011143590989768729
1771063376352535235,2.3312902750034648e-05,-2.128934759768242e-09,-1.6976244222030072e-05
1771063376452542190,3.369687423199955e-07,-5.886895388967596e-10,-0.0001248602513863105
1771063376552611192,2.895572184125971e-07,-5.831446050316488e-10,-0.0001263394047657988
1771063376652527866,2.894578886285667e-07,-5.831321481623702e-10,-0.00012633649127967187
1771063376752495156,2.8945768551733185e-07,-5.8313212252022e-10,-0.0001263364907056795
1771063376852499535,2.8945768509270216e-07,-5.831321224665774e-10,-0.0001263364907055664
1771063376952521218,2.894576850918136e-07,-5.831321224664652e-10,-0.00012633649070556638
1771063377052618272,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377152607834,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377252526201,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377352512407,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377452629699,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377552527067,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377652524493,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377752501070,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377852573218,2.8945768509181177e-07,-5.83132122466465e-10,-0.00012633649070556638
1771063377952498678,-9.532602604763755e-08,-5.345198984618108e-10,-0.00012633649070556638
1771063378052597817,-9.607184398781436e-08,-5.344256744400423e-10,-0.00012633649070556638
1771063378152627744,-9.607338641120343e-08,-5.344254795756831e-10,-0.00012633649070556638
1771063378252539258,-9.607338959247914e-08,-5.344254791737719e-10,-0.00012633649070556638
1771063378352548206,-9.607338959908365e-08,-5.344254791729375e-10,-0.00012633649070556638
1771063378452643688,2.285031607508024e-05,-2.445457216176518e-09,-3.1970149401323893e-05
1771063378552631987,-3.086490383041417e-07,-5.367365917377688e-10,-0.00014070809283929582
1771063378652689296,7.980100182580748e-07,-6.95537028436717e-10,-0.00010863990185350794
1771063378752558921,3.136996171449831e-05,4.265607949442601e-09,0.00043634202749090093
1771063378852972823,0.0003372602393250928,7.133142288919291e-08,-0.00020535980160953893
1771063378952636610,0.0012559903325565457,-9.840700026596988e-07,-0.0019186296148074242
1771063379052629948,0.0021532259623517312,-2.6440981397650664e-06,-0.0018175446121798328
1771063379152562742,0.003176842966329969,-4.408520455355532e-06,-0.0015965636003709772
1771063379252533999,0.004747524665184784,-7.077015871562874e-06,-0.0018825332487513674
1771063379352519472,0.0064536302932239,-1.048587180688655e-05,-0.001992276120342231
1771063379452559499,0.00856074543873429,-1.4737482407568202e-05,-0.0018301836395146465
1771063379552485139,0.010686857894467954,-1.7495585651485194e-05,-0.0010107842277047308
1771063379652514936,0.012332550160103635,-1.8335184806986317e-05,-5.2940675121298335e-05
1771063379752492094,0.014397539009831508,-1.880728865196366e-05,-0.0002191047403994405
1771063379852491374,0.016457858075262097,-1.978016849386109e-05,-0.00068756006257053
1771063379952492757,0.018587396369984695,-2.128632673973366e-05,-0.0009510284573350417
1771063380052493349,0.020288986284064586,-2.2768336264001398e-05,-0.000767128404221062
1771063380152519479,0.02270682418712509,-2.50757446238756e-05,-0.0009822932826545798
1771063380252492589,0.02554756489149961,-2.7973467948803545e-05,-0.0009301844262340506
1771063380352493582,0.02802354884045835,-3.097774539319598e-05,-0.0014488395496955935
1771063380452501958,0.031065753835321605,-3.668307398006912e-05,-0.0023126680968839366
1771063380552518249,0.03412809039275774,-4.407575751677281e-05,-0.002596203823809976
1771063380652501428,0.03806412692634464,-5.5130134637823035e-05,-0.002993568680861546
1771063380752495598,0.042510580315282806,-7.086252466377435e-05,-0.0037896508154205595
1771063380852493004,0.04981733945000582,-0.00010022249067658461,-0.004783184324448611
1771063380952491762,0.05914240410750229,-0.00014871357329179728,-0.005361021625678525
1771063381052492043,0.06817271524286618,-0.00020078436194680385,-0.005585759955088393
1771063381152499628,0.08002887328533533,-0.00027817479110682063,-0.006928306267978259
1771063381252487666,0.09283135824059609,-0.0003828930463050656,-0.008437423820416507
1771063381352498938,0.103416117700021,-0.0004828919046529319,-0.009873111262852124
1771063381452493187,0.11677250820559873,-0.0006031055374749433,-0.008473544892405349
1771063381552492266,0.13060596873361746,-0.0007143866639469482,-0.008347958760932903
1771063381652514709,0.14267299132247058,-0.0008171234279312096,-0.008746290914406065
1771063381752561267,0.15791252547391504,-0.0009622701827066368,-0.009177070904441188
1771063381852621992,0.17370610640801973,-0.0011235763937590144,-0.010036291760433897
1771063381952514009,0.18718844704170542,-0.0012733616273388983,-0.011550630989883626
1771063382052619198,0.20376849890452042,-0.0014692181604312802,-0.012856374221738938
1771063382152580084,0.22127083633678216,-0.001677327414162844,-0.012277953976703213
1771063382252485526,0.23545215427320584,-0.0018660792309081226,-0.012566477544372016
1771063382352510914,0.25339231056941414,-0.002134015612251676,-0.016793074009526128
1771063382452569154,0.27226252403390155,-0.0024617831724802405,-0.01893324030039679
1771063382552572060,0.28867871689546815,-0.0028179016784485376,-0.023601308220425842
1771063382652504723,0.3088524873979169,-0.0032781315338825047,-0.022285390015951957
1771063382752487732,0.329074336730383,-0.003714462139524696,-0.020226317062761283
1771063382852593592,0.3461165993243253,-0.0040398526546347084,-0.01885381838404437
1771063382952495767,0.36687105728692854,-0.004432495427928521,-0.01938359127972788
1771063383052608570,0.3880293144094227,-0.0047892264530027505,-0.015257143496665525
1771063383152515515,0.4091100802825641,-0.005118423180097951,-0.015148125380054207
1771063383252557123,0.4257022561156857,-0.005346067651622594,-0.012333977786295672
1771063383352527427,0.4464160186774688,-0.005614248256337822,-0.012806099315627635
1771063383452492501,0.46750573706510046,-0.005877092874903606,-0.012936484941595279
1771063383552491369,0.48518737233802534,-0.00612741409294502,-0.015618681173295618
1771063383652518831,0.5064654841578791,-0.00646177762441253,-0.01585884208942118
1771063383752621295,0.5276819793482496,-0.006790257477097132,-0.015480910534053791
1771063383852576831,0.5449467332810823,-0.010218263744314804,-0.01683092293741811
1771063383952492361,0.5659852442810211,-0.01661146836453168,-0.024366919740967875
1771063384052606517,0.5870412456556617,-0.019991359628619528,-0.025175906798682805
1771063384152513571,0.604642912246179,-0.020414675561245973,-0.02496277571033854
1771063384252502320,0.6256813674996382,-0.020917306085991606,-0.02310845438283485
1771063384352633137,0.6466664580559038,-0.02135204200426893,-0.02039290302813889
1771063384452558886,0.6640492237413664,-0.021732620559555844,-0.0218685562363983
