timestamp,omega_z,accel_x,accel_y,accel_z
1.7710629499971853e+18,0.0,0.14425064623355865,0.12689268589019775,10.122684478759766
1.7710629500470776e+18,0.0,0.12210428714752197,0.10534487664699554,10.104727745056152
1.7710629500969733e+18,0.0,0.14604629576206207,0.09636661410331726,10.11669921875
1.7710629501471032e+18,0.0,0.15322890877723694,0.10115502029657364,10.116100311279297
1.771062950197144e+18,0.0,0.1173158809542656,0.1628057062625885,10.165780067443848
1.7710629502470413e+18,0.0,0.152031809091568,0.11851298063993454,10.108918190002441
1.7710629502970883e+18,0.0,0.1711854189634323,0.12389993667602539,10.108319282531738
1.7710629503470792e+18,0.0,0.12928688526153564,0.09516951441764832,10.145429611206055
1.771062950396973e+18,0.0,0.16340425610542297,0.09876082092523575,10.159195899963379
1.771062950447136e+18,0.0,0.12689268589019775,0.132279634475708,10.124480247497559
1.7710629504971397e+18,0.0,0.1215057373046875,0.13527239859104156,10.148422241210938
1.7710629505471803e+18,0.0,0.14664484560489655,0.11372458189725876,10.13166332244873
1.7710629505970332e+18,0.0,0.14484919607639313,0.104147769510746,10.16757583618164
1.7710629506471741e+18,0.0,0.12868833541870117,0.10055647045373917,10.108918190002441
1.771062950697109e+18,0.0,0.13168108463287354,0.10115502029657364,10.104129791259766
1.7710629507470016e+18,0.0,0.11013327538967133,0.10773907601833344,10.138246536254883
1.7710629507972692e+18,0.0,0.12090718746185303,0.15741875767707825,10.15560531616211
1.7710629508470902e+18,0.0,0.09576806426048279,0.1538274586200714,10.177751541137695
1.7710629508969692e+18,0.0,0.14604629576206207,0.11971008032560349,10.159794807434082
1.7710629509470044e+18,0.0,0.1215057373046875,0.09696516394615173,10.132261276245117
1.7710629509970793e+18,0.0,0.13766659796237946,0.12330138683319092,10.15261173248291
1.7710629510477614e+18,0.0,0.12749123573303223,0.12389993667602539,10.122684478759766
1.77106295109707e+18,0.0,0.11252747476100922,0.11851298063993454,10.18912410736084
1.771062951147033e+18,0.0,0.1711854189634323,0.0999579206109047,10.070611000061035
1.7710629511969638e+18,0.0,0.1777694672346115,0.09038111567497253,10.13166332244873
1.7710629512469878e+18,0.0,0.13706804811954498,0.10833762586116791,10.15560531616211
1.7710629512970842e+18,0.0,0.13946224749088287,0.09516951441764832,10.117298126220703
1.7710629513469834e+18,0.0,0.15322890877723694,0.10534487664699554,10.141838073730469
