timestamp,x,y,theta,v,omega,cov_xx,cov_yy,cov_tt
1771071294725244998,0.0,0.0,0.0,0.0,0.0,0.11002377107127823,0.11,0.11
1771071294775104280,0.0,0.0,0.0,0.0,0.0,0.1200270605167755,0.12,0.12
1771071294825146188,0.0,0.0,0.0,0.0,0.0,0.13002840981426458,0.13,0.13
1771071294874609992,0.0,0.0,0.0,0.0,0.0,0.14002963877610888,0.14,0.14
1771071294924652501,0.0,0.0,0.0,0.0,0.0,0.15003088990281496,0.15000000000000002,0.15000000000000002
1771071294975063769,0.0,0.0,0.0,0.0,0.0,0.16003215969674314,0.16000000000000003,0.16000000000000003
1771071295025076612,0.0,0.0,0.0,0.0,0.0,0.1700334111666578,0.17000000000000004,0.17000000000000004
1771071295074755482,0.0,0.0,0.0,0.0,0.0,0.1800346459204598,0.18000000000000005,0.18000000000000005
1771071295124420025,0.0,0.0,0.0,0.0,0.0,0.19003587926935928,0.19000000000000006,0.19000000000000006
1771071295174542085,0.0,0.0,0.0,0.0,0.0,0.20003713438587298,0.20000000000000007,0.20000000000000007
1771071295225127732,0.0,0.0,0.0,0.0,0.0,0.21003841277450647,0.21000000000000008,0.21000000000000008
1771071295274948461,0.0,0.0,0.0,0.0,0.0,0.22003965543596118,0.22000000000000008,0.22000000000000008
1771071295324980350,0.0,0.0,0.0,0.0,0.0,0.2300409066452223,0.2300000000000001,0.2300000000000001
1771071295374522441,0.0,0.0,0.0,0.0,0.0,0.2400421348921328,0.2400000000000001,0.2400000000000001
1771071295425223667,0.0,0.0,0.0,0.0,0.0,0.25004341769263766,0.2500000000000001,0.2500000000000001
1771071295474844067,0.0,0.0,0.0,0.0,0.0,0.2600446510044602,0.2600000000000001,0.2600000000000001
1771071295525423843,0.0,0.0,0.0,0.0,0.0,0.2700459281547721,0.27000000000000013,0.27000000000000013
1771071295575182404,0.0,0.0,0.0,0.0,0.0,0.2800471677984906,0.28000000000000014,0.28000000000000014
1771071295624601883,0.0,0.0,0.0,0.0,0.0,0.2900483897457407,0.29000000000000015,0.29000000000000015
