timestamp,x,y,theta,v,omega,cov_xx,cov_yy,cov_tt
1771057944448102302,0.0,0.0,0.0,0.0,0.0,0.1100231946279792,0.11,0.11
1771057944497706454,0.0,0.0,0.0,0.0,0.0,0.12002643596746014,0.12,0.12
1771057944548292609,0.0,0.0,0.0,0.0,0.0,0.13002781074657144,0.13,0.13
1771057944598122389,0.0,0.0,0.0,0.0,0.0,0.14002905817275027,0.14,0.14
1771057944647459014,0.0,0.0,0.0,0.0,0.0,0.15003027654889503,0.15000000000000002,0.15000000000000002
1771057944698140951,0.0,0.0,0.0,0.0,0.0,0.1600315579759755,0.16000000000000003,0.16000000000000003
1771057944748103984,0.0,0.0,0.0,0.0,0.0,0.17003280755950295,0.17000000000000004,0.17000000000000004
1771057944798356947,0.0,0.0,0.0,0.0,0.0,0.18003406967180188,0.18000000000000005,0.18000000000000005
1771057944847971909,0.0,0.0,0.0,0.0,0.0,0.19003530184462228,0.19000000000000006,0.19000000000000006
1771057944898036916,0.0,0.0,0.0,0.0,0.0,0.20003655417961555,0.20000000000000007,0.20000000000000007
1771057944948108465,0.0,0.0,0.0,0.0,0.0,0.21003780770358965,0.21000000000000008,0.21000000000000008
1771057944998039908,0.0,0.0,0.0,0.0,0.0,0.22003905457967546,0.22000000000000008,0.22000000000000008
1771057945048231394,0.0,0.0,0.0,0.0,0.0,0.23004031361869212,0.2300000000000001,0.2300000000000001
1771057945097717742,0.0,0.0,0.0,0.0,0.0,0.2400415395601441,0.2400000000000001,0.2400000000000001
1771057945147847091,0.0,0.0,0.0,0.0,0.0,0.2500427947034791,0.2500000000000001,0.2500000000000001
1771057945198300152,0.0,0.0,0.0,0.0,0.0,0.26004406668804014,0.2600000000000001,0.2600000000000001
1771057945247925665,0.0,0.0,0.0,0.0,0.0,0.2700452997846065,0.27000000000000013,0.27000000000000013
1771057945297677207,0.0,0.0,0.0,0.0,0.0,0.2800465371999336,0.28000000000000014,0.28000000000000014
1771057945348023587,0.0,0.0,0.0,0.0,0.0,0.29004780326806556,0.29000000000000015,0.29000000000000015
1771057945398046463,0.0,0.0,0.0,0.0,0.0,0.3000490550563243,0.30000000000000016,0.30000000000000016
1771057945448056094,0.0,0.0,0.0,0.0,0.0,0.3100503055960518,0.31000000000000016,0.31000000000000016
1771057945497836781,0.0,0.0,0.0,0.0,0.0,0.3200515451525585,0.3200000000000002,0.3200000000000002
1771057945547895515,0.0,0.0,0.0,0.0,0.0,0.33005279750869215,0.3300000000000002,0.3300000000000002
1771057945598064699,0.0,0.0,0.0,0.0,0.0,0.3400540557147236,0.3400000000000002,0.3400000000000002
1771057945648115287,0.0,0.0,0.0,0.0,0.0,0.35005530849130184,0.3500000000000002,0.3500000000000002
1771057945698019669,0.0,0.0,0.0,0.0,0.0,0.3600565540433412,0.3600000000000002,0.3600000000000002
1771057945747899203,0.0,0.0,0.0,0.0,0.0,0.3700577980961287,0.3700000000000002,0.3700000000000002
1771057945797935705,0.0,0.0,0.0,0.0,0.0,0.3800590495835872,0.3800000000000002,0.3800000000000002
1771057945848066977,0.0,0.0,0.0,0.0,0.0,0.3900603059338211,0.39000000000000024,0.39000000000000024
1771057945898080736,0.0,0.0,0.0,0.0,0.0,0.40006155686728706,0.40000000000000024,0.40000000000000024
1771057945948068856,0.0,0.0,0.0,0.0,0.0,0.410062806340249,0.41000000000000025,0.41000000000000025
1771057945997933653,0.0,0.0,0.0,0.0,0.0,0.4200640498596208,0.42000000000000026,0.42000000000000026
1771057946047863232,1.1528105024489228e-06,0.0,0.0,0.00048383772352333774,-0.004976620111624939,0.430065296212763,0.43000000000000027,0.43000000000000027
1771057946097965438,2.4290158692470202e-05,-1.4405148659350827e-09,-0.0001248315144860829,2.2038251843114825e-05,-0.000589600427054221,0.44006655094640584,0.4400000002526924,0.44000305975566933
